S.N.,Date,Reference/From where did they come to know about us?,comments
1799,17-Jul-24,Instagram,Mango
1800,17-Jul-24,Instagram,Not Descide
1801,17-Jul-24,Instagram,Mango
1802,17-Jul-24,Instagram,Dalimb
1803,17-Jul-24,Instagram,"Mango,Guava"
1804,17-Jul-24,Facebook,Sitaphal
1805,17-Jul-24,Instagram,Not Descide
1806,17-Jul-24,Instagram,Organic Fertilizer(Sufal agricall Pvt.LTD Kolhapur)
1807,17-Jul-24,Instagram,Sitaphal
1808,17-Jul-24,Instagram,"Mango,Jambul"
1809,17-Jul-24,Instagram,200 Land Avilable
1810,17-Jul-24,Instagram,Not Descide
1811,17-Jul-24,Instagram,Not Descide
1812,17-Jul-24,Instagram,"Mango,Kaju"
1813,17-Jul-24,Instagram,Money Problem
1814,17-Jul-24,Instagram,Sitaphal
1815,17-Jul-24,Instagram,Mix
1816,19-Jul-24,Instagram,Not Descide
1817,19-Jul-24,Instagram,Jambul
1818,19-Jul-24,Instagram,"Mango,Guava"
1819,19-Jul-24,Instagram,"Mango,Lemon"
1820,19-Jul-24,Instagram,Pomogranate 
1821,19-Jul-24,Instagram,Pragati Mahila Shetkari Gat 
1822,19-Jul-24,Instagram,Mix
1823,19-Jul-24,Instagram,Mohgani
1824,19-Jul-24,Peer to Peer,Bamboo
1825,19-Jul-24,Instagram,Mango
1826,19-Jul-24,Instagram,Mix
1827,19-Jul-24,Instagram,Not Descide
1828,19-Jul-24,Instagram,Not Descide
1829,19-Jul-24,Instagram,Lemon
1830,19-Jul-24,Instagram,Bamboo
1831,19-Jul-24,Instagram,"Babmboo,Chinch,Avala"
1832,19-Jul-24,Instagram,Pomogranate 
1833,19-Jul-24,Instagram,"Orange,Jambul,Bamboo"
1834,19-Jul-24,Instagram,"Mango,Lemon"
1835,19-Jul-24,Instagram,"The Farmoso Indiustris Pvt Ltd Masale,Milk "
1836,19-Jul-24,Instagram,Not Descide(Interested Farmer)
1837,19-Jul-24,Instagram,Guava
1838,19-Jul-24,Instagram,Mango
1839,19-Jul-24,Instagram,Mango
1840,19-Jul-24,Instagram,"Mango,Guava"
1841,19-Jul-24,Instagram,Mango
1842,19-Jul-24,Instagram,Bamboo Compound
1843,19-Jul-24,Instagram,"Cocunat,Jambul,Avala"
1844,19-Jul-24,Instagram,Mango
1845,19-Jul-24,Instagram,Mango
1846,19-Jul-24,Instagram,Mango
1847,20-Jul-24,Facebook,"Orange,Mosambi"
1848,20-Jul-24,Facebook,"Mango,Sitaphal,Jambul"
1849,20-Jul-24,Facebook,"Shevga,Mango"
1850,20-Jul-24,Facebook,It is said that 40 acres of land can be connected to F4F
1851,20-Jul-24,Facebook,Called to get information about F4F
1852,20-Jul-24,Facebook,Mango
1853,20-Jul-24,Facebook,Not Deside
1854,20-Jul-24,Facebook,Mango
1855,20-Jul-24,Facebook,"Mango,Jambul"
1856,20-Jul-24,Youtube/Google,"Mosambi,Orange"
1857,20-Jul-24,Facebook,Mango
1858,20-Jul-24,Facebook,"Mango,Chinch,Avala"
1859,20-Jul-24,Facebook,Not Descide
1860,20-Jul-24,Facebook,Jambul(There is a farm at a distance of one km from parner)
1861,20-Jul-24,Facebook,Mango
1862,20-Jul-24,Facebook,"Kaju,Mango 6 Year ago"
1863,20-Jul-24,Facebook,"Mango,Jambul,Chinch"
1864,20-Jul-24,Facebook,Sitaphal 2 Year ago
1865,22-Jul-24,Facebook,"Mango,Jambul"
1866,22-Jul-24,Facebook,Not Descide
1867,22-Jul-24,Facebook,Just Wanted Compound
1868,22-Jul-24,F4F_Team,Lemon
1869,22-Jul-24,Facebook,Mango
1870,22-Jul-24,Facebook,Pomogranate 
1871,22-Jul-24,Youtube/Google,Apply Cao In Google from
1872,22-Jul-24,Facebook,Mosambi
1873,22-Jul-24,Facebook,Mango
1874,22-Jul-24,Facebook,Lemon
1875,22-Jul-24,Facebook,Mango
1876,22-Jul-24,Facebook,Jambul
1877,22-Jul-24,Facebook,Not Decscide
1878,22-Jul-24,Facebook,Ho for The children Sanstha
1879,22-Jul-24,Facebook,Charoli PCMC ( Called to get information about F4F)
1880,22-Jul-24,Facebook,Pomogranate 
1881,22-Jul-24,Facebook,"Mango,Orange  "
1882,22-Jul-24,Facebook,"Cocunat,Orange,Mango"
1883,22-Jul-24,Facebook,Want to do community plantation 5000 saplings and csr funding through plantation
1884,22-Jul-24,Whatsapp,"Lemon,Mango"
1885,23-Jul-24,Whatsapp,After 
1886,23-Jul-24,Whatsapp,"He Want To Plant All Species 5,10 Qantity"
1887,23-Jul-24,Whatsapp,All Mix
1888,23-Jul-24,Whatsapp,He to help For start Palntation In Wardha
1889,23-Jul-24,Whatsapp,"Sitaphal,Guava,Shevga"
1890,23-Jul-24,Whatsapp,"Jambhul,Mango"
1891,24-Jul-24,Whatsapp,Mango
1892,24-Jul-24,Whatsapp,Not Descided
1893,24-Jul-24,Whatsapp,Called to Inquired about F4F
1894,24-Jul-24,Whatsapp," Connect to-Ralegaon,Kalmb,Umarkhed,Mahgaon,Pursad 150 Farmers (Cenzenda Foundatiin) "
1895,24-Jul-24,Whatsapp,Sitaphal
1896,24-Jul-24,Facebook,"Mango,Dragon,Ginger"
1897,24-Jul-24,Facebook,Mango(He to help For start Palntation In buldhana)
1898,24-Jul-24,Facebook,Mango
1899,24-Jul-24,Facebook,Not Descided
1900,24-Jul-24,Facebook,Just Wanted 10 Plants
1901,24-Jul-24,Facebook, Qualification-MSW 
1902,24-Jul-24,Peer to Peer,Sitaphal
1903,24-Jul-24,Facebook,Not Descide
1904,24-Jul-24,other,Apply For post of CEO 
1905,24-Jul-24,Facebook,Mango(After 1 year plan for plantation)
1906,24-Jul-24,Facebook,Not Descide
1907,24-Jul-24,Facebook,200 Students can come to plant plantation in pune city
1908,24-Jul-24,Facebook,Just wanted to organic compost
1909,24-Jul-24,Facebook,Chandan
1910,24-Jul-24,Facebook,"Jambul,Sitaphal,Mango"
1911,24-Jul-24,Facebook,Lemon
1912,24-Jul-24,Facebook,Not Descided
1913,24-Jul-24,Facebook,Mango
1914,24-Jul-24,Facebook,Not Descide
1915,24-Jul-24,Facebook,Not Eligibale
1916,24-Jul-24,Facebook,"Mango,Jambul,Orange "
1917,24-Jul-24,Facebook,"Dragen,Lemon,Mango"
1918,24-Jul-24,Facebook,"Sitaphal,Guava,Pomogranted,Mango(Not Resive)"
1919,24-Jul-24,Facebook,Guava
1920,25-Jul-24,Facebook,"Banana, Guava"
1921,25-Jul-24,Facebook,For job enquiry
1922,25-Jul-24,Facebook,Not Decided
1923,25-Jul-24,Facebook,Sitafal
1924,25-Jul-24,Facebook,Not Decided
1926,25-Jul-24,Facebook,Guava
1927,25-Jul-24,Facebook,Bamboo
1928,26-Jul-24,Facebook,Jambul
1929,26-Jul-24,Facebook,Mango (Plantation of single variety plants)
1930,26-Jul-24,Facebook,"Mango,Cocunat"
1931,26-Jul-24,Facebook,Not Descide
1932,26-Jul-24,Facebook,"Mango,Jambul"
1933,26-Jul-24,Facebook,Called to Inquired about F4F
1934,26-Jul-24,Facebook,Not Descided
1935,26-Jul-24,Facebook,Bodake Organic Shop.If you need organic compost call me
1936,26-Jul-24,Facebook,Not Descided
1937,26-Jul-24,Facebook,"Mango,Mosambi"
1938,26-Jul-24,Youtube/Google,Sandalwood
1939,26-Jul-24,Facebook,Not Decided
1940,26-Jul-24,other,Called to get information about F4F
1941,26-Jul-24,Facebook,Mango
1942,26-Jul-24,other,Apply For post of CEO 
1943,26-Jul-24,Facebook,Trupti Harbal
1944,26-Jul-24,Facebook,Farmer Producer Company (Greenbuks Agree Tack)
1945,26-Jul-24,Facebook,Interested Farmer
1946,26-Jul-24,Facebook,Guava
1947,26-Jul-24,Facebook,Water Problem (Sitaphal)
1948,26-Jul-24,Facebook,Not Desided
1949,26-Jul-24,Facebook,Not Desided
1950,26-Jul-24,Facebook,"Mango,Sitaphal"
1951,26-Jul-24,Peer to Peer,Not Desided
1952,26-Jul-24,Facebook,Called to inquired about F4F
1953,26-Jul-24,Facebook,Mango   
1954,27-Jul-24,Facebook,"Krushnai Nursary Yawat Anjir,Pomogrante,Jambul,Avala,Cocunt,Fanas,Orage,Mosambi"
1955,27-Jul-24,Facebook,Mango
1956,27-Jul-24,Facebook,Banana
1957,27-Jul-24,Facebook,Not Desided
1958,27-Jul-24,Facebook,Guava
1959,27-Jul-24,Facebook,"Mango,Lemon,Guava"
1960,29-Jul-24,Facebook,Not Desided
1961,29-Jul-24,Facebook,Not Desided
1962,29-Jul-24,Facebook,"Mango,Chiku"
1963,29-Jul-24,Facebook,Alovera
1964,29-Jul-24,Facebook,Not Desided
1965,29-Jul-24,Facebook,Mango
1966,29-Jul-24,Facebook,Bamboo
1967,29-Jul-24,Facebook,"Sitaphal,Jambul"
1968,29-Jul-24,Whatsapp,Not Desided
1969,29-Jul-24,Peer to Peer,Not Desided
1970,29-Jul-24,Facebook,Not Desided
1971,29-Jul-24,Facebook,"Mango,Cocunat"
1972,29-Jul-24,Facebook,Mango
1973,29-Jul-24,Peer to Peer,Just wanted to Drip
1974,29-Jul-24,Facebook,Satyam Nursary
1975,29-Jul-24,Facebook,Mango
1976,29-Jul-24,Facebook,Mango
1977,29-Jul-24,Facebook,Reetha
1978,29-Jul-24,Facebook,"Jambul,Lemon"
1979,29-Jul-24,Facebook,Mango
1980,29-Jul-24,Youtube/Google,Interested post of CEO
1981,29-Jul-24,Facebook,Mango
1982,29-Jul-24,Facebook,Not Descided
1983,29-Jul-24,Facebook,Guava
1984,29-Jul-24,Facebook,All
1985,29-Jul-24,Facebook,Guava
1986,29-Jul-24,Facebook,Orange
1987,29-Jul-24,Facebook,Mix
1988,29-Jul-24,Facebook,Not Descided
1989,29-Jul-24,Facebook,Mango
1990,29-Jul-24,Facebook,Not Descided
1991,29-Jul-24,Facebook,Mix
1992,29-Jul-24,Facebook,Orange
1993,29-Jul-24,Facebook,"Orange,Sitaphal"
1994,30-Jul-24,Youtube/Google,Bamboo( Just Wanted compound)
1995,30-Jul-24,Facebook,Not Descided(Interested Farmer)
1996,30-Jul-24,Facebook,Called to get information about F4F
1997,30-Jul-24,F4F_Team,Not Descided
1998,30-Jul-24,Peer to Peer,Called to get information about F4F
1999,30-Jul-24,Facebook,Sitaphal   
2000,30-Jul-24,Facebook,Mango
2001,30-Jul-24,Facebook,"Sagwan,cocunat,mango,jambul,guava"
2002,30-Jul-24,Facebook,www.30stades.com
2003,30-Jul-24,Facebook,Mango (Not descided)
2004,30-Jul-24,Facebook,Dragen
2005,30-Jul-24,Facebook,Called to get information about F4F
2006,30-Jul-24,F4F_Team,"Sitaphal,Jambul"
2007,30-Jul-24,Facebook,"Mango,Kaju"
2008,30-Jul-24,Facebook,Called to get information about F4F
2009,30-Jul-24,Facebook,Chandan
2010,31-Jul-24,Facebook,Not Descided
2011,31-Jul-24,Facebook,Pomogranted 
2012,31-Jul-24,Facebook,Mosambi
2013,31-Jul-24,Facebook,Mango
2014,31-Jul-24,Facebook,Mango
2015,31-Jul-24,Peer to Peer,"Mango,Sitaphal"
2016,31-Jul-24,Facebook,Not Descided
2017,31-Jul-24,Facebook,Not Descided
2018,31-Jul-24,Facebook,Just wanted to compound
2019,31-Jul-24,Facebook,Guava
2020,31-Jul-24,Facebook,Not Desided
2021,31-Jul-24,Facebook,Not Desided
2022,01-Aug-24,Facebook,Fanas( Water Problem)
2023,01-Aug-24,Facebook,Not Descided
2024,01-Aug-24,Facebook,Mango
2025,01-Aug-24,Facebook,Pomogranted 
2026,01-Aug-24,Facebook,"Mango,Mosambi"
2027,01-Aug-24,Facebook,Pomogranted 
2028,01-Aug-24,Facebook,Descided after taking with fild team
2029,01-Aug-24,Facebook,Not Descided
2030,01-Aug-24,Facebook,"Kaju,Cocunt"
2031,01-Aug-24,Facebook,"Mango,Lemon,Sitaphal"
2032,01-Aug-24,Facebook,Not Descided
2033,01-Aug-24,Facebook,"Guava,Lemon"
2034,01-Aug-24,Facebook,Lemon
2035,01-Aug-24,Facebook,Called to get information about F4F
2036,01-Aug-24,Facebook,Kharik
2037,01-Aug-24,Facebook,Inform if there is any vacancy on the fild
2038,02-Aug-24,Facebook,Not Desided
2039,02-Aug-24,Facebook,Not Desided
2040,02-Aug-24,Facebook,"Mango,Lemon,Jambul"
2041,02-Aug-24,Facebook,All
2042,02-Aug-24,Facebook,All
2043,02-Aug-24,Facebook,Not Descided
2044,02-Aug-24,Facebook,Pomogranted 
2045,02-Aug-24,Facebook,Sitaphal ( Water Problem)
2046,02-Aug-24,Facebook,Plantation plan after october
2047,02-Aug-24,Facebook,Not Descided
2048,02-Aug-24,Facebook,Not Descided
2049,02-Aug-24,Facebook,Not Descided
2050,02-Aug-24,Facebook,"Mango,Sitaphal"
2051,02-Aug-24,Facebook,"Mango,Sitaphal"
2052,03-Aug-24,Facebook,Guava
2053,03-Aug-24,Facebook,Guava
2054,03-Aug-24,Facebook,"Wanted to sell banana,called to ask if there is any help"
2055,03-Aug-24,Facebook,Not Descided
2056,03-Aug-24,Facebook,Papaya
2057,03-Aug-24,Facebook,Mango
2058,03-Aug-24,Facebook,Not descided
2059,03-Aug-24,Facebook, Want Lemon plants (20 km near of parner)
2060,03-Aug-24,Facebook,Strobery plant nusrsay ( Vikram enterprizes Mahabaleshwr) 
2061,03-Aug-24,Facebook,"Mango,Pomogranate"
2062,05-Aug-24,Facebook,"Cocounat,Bambo"
2063,05-Aug-24,Facebook,Just wanted to compound
2064,05-Aug-24,Facebook,Mix
2065,05-Aug-24,Facebook,Mango
2066,05-Aug-24,Facebook,Mango
2067,05-Aug-24,Facebook, Want to Pomogranted and Mango plants
2068,05-Aug-24,Facebook,Sitaphal
2069,05-Aug-24,Facebook,"Mango,Chanda"
2070,05-Aug-24,F4F_Team,"Mosambi,Lemon,Bambo"
2071,05-Aug-24,Facebook,Sarvydnya agro indrustris
2072,05-Aug-24,Youtube/Google,Apply for Vp resarch communication and cheaf of staff
2073,06-Aug-24,Facebook,Papaya
2074,06-Aug-24,Facebook, Want Sitaphal plants but (Water Problem )
2075,06-Aug-24,Facebook,Want mango plants but plantation plan is next year
2076,06-Aug-24,Peer to Peer,Guava
2077,06-Aug-24,Facebook,"Guava,Lemon"
2078,06-Aug-24,Facebook, Japani Mango
2079,06-Aug-24,Facebook,Mango
2080,06-Aug-24,Youtube/Google,Infoysis Pvt Ltd 
2081,06-Aug-24,Facebook,Not descided
2082,06-Aug-24,Facebook,Not descided
2083,06-Aug-24,Facebook,Pomogrante
2084,06-Aug-24,Facebook,Guava
2085,06-Aug-24,Facebook,Dragen
2086,07-Aug-24,Facebook,Pomogranate
2087,07-Aug-24,Facebook,Not descided
2088,07-Aug-24,Facebook,"Mango,Mosambi"
2089,07-Aug-24,Facebook,Not descided
2090,07-Aug-24,Facebook,"Mango,Guava"
2091,07-Aug-24,Facebook,"Mango,Jambul,Chinch"
2092,07-Aug-24,Facebook,Agree Student Wants to Organize agriculutral fair can F4F do it 
2093,07-Aug-24,Facebook, F4F Website pe CEO ke liye apply kiya hai Update ke liye call kiya tha
2094,07-Aug-24,Facebook, Want to Mango and Phule Purandar Sitaphal plants
2095,08-Aug-24,Facebook,Bambo
2096,08-Aug-24,Facebook,Mango
2097,08-Aug-24,Facebook,Mango
2098,08-Aug-24,Facebook,Called to get information about F4F
2099,08-Aug-24,Facebook,"Guava,Sitaphal"
2100,08-Aug-24,Facebook,Just Want singal varaity plants( Mosambi) 
2101,08-Aug-24,Facebook,Called to get information about F4F
2102,08-Aug-24,Youtube/Google,Called to get information about F4F
2103,08-Aug-24,Facebook,"Anjir,Sitaphal"
2104,08-Aug-24,Peer to Peer,Not descided
2105,08-Aug-24,Facebook,Pomogranate
2106,08-Aug-24,Facebook,"Plantation has already been done,just wanted guidane from F4F"
2107,08-Aug-24,Facebook,Called to get information about F4F
2108,08-Aug-24,Facebook,Water Problemb  
2109,08-Aug-24,Facebook,"Shevga,Mango"
2110,08-Aug-24,Facebook,Guava
2111,08-Aug-24,Facebook,mix
2112,09-Aug-24,Facebook,Not Desided
2113,09-Aug-24,Facebook,Not descided
2114,09-Aug-24,Facebook,Sitaphal.Mango
2115,09-Aug-24,Facebook,Only Mango
2116,09-Aug-24,Facebook,Mango
2117,09-Aug-24,Facebook,Not descided
2118,09-Aug-24,Facebook,"Orange,Sagwan"
2119,09-Aug-24,Facebook,Only Mango
2120,09-Aug-24,Facebook,Called to ge information about F4F
2121,09-Aug-24,F4F_Team,Descided after taking with fild team
2122,09-Aug-24,Facebook,All mix
2123,10-Aug-24,Facebook,"Mosambi,Mango"
2124,10-Aug-24,Facebook,Guava
2125,10-Aug-24,Facebook,Lemon
2126,10-Aug-24,Facebook,Pomogranate
2127,10-Aug-24,Facebook,Mango
2128,10-Aug-24,Facebook,Not Descide
2129,10-Aug-24,Facebook,Not Descided
2130,10-Aug-24,Facebook,"Sitaphal,Mosambi"
2131,10-Aug-24,Facebook,Pomogranate
2132,10-Aug-24,Facebook,Pomogranate
2133,10-Aug-24,Facebook,Called to get information about F4F
2134,10-Aug-24,Facebook,Pomogranate
2135,10-Aug-24,Facebook,Mango
2136,10-Aug-24,Facebook,Mango
2137,10-Aug-24,Facebook,Guava
2138,10-Aug-24,Facebook,Pomogranate
2139,10-Aug-24,Facebook,Papaya
2140,10-Aug-24,Facebook,Mango
2141,10-Aug-24,Facebook,Mango
2142,10-Aug-24,Facebook,Called to get information about F4F
2143,10-Aug-24,Facebook,Not Descide
2144,10-Aug-24,Facebook,Guava
2145,10-Aug-24,Youtube/Google,Job regarding call kiya tha 
2146,10-Aug-24,Youtube/Google,Pradhan engo hai unka koi event hai delhi me krutika mam ko invite krna hai to unka no.chahiye yesa keh rahe the
2147,10-Aug-24,Facebook, Want Apple Bor plants
2148,10-Aug-24,Instagram,Mango
2149,10-Aug-24,Peer to Peer,Pomogranate
2150,10-Aug-24,Instagram,"Mosambi,Lemon (Alredy FID fill kiya hai)"
2151,10-Aug-24,Instagram,Chiku
2152,10-Aug-24,Instagram,"Guava,Pomogranate"
2153,10-Aug-24,Instagram,Sitaphal
2154,10-Aug-24,Instagram,Sitaphal
2155,10-Aug-24,Instagram,"Pomogranate,Lemon"
2156,10-Aug-24,Instagram,"Mango,Leamon"
2157,10-Aug-24,Instagram,Guava
2158,10-Aug-24,Peer to Peer,Not Descided
2159,10-Aug-24,Instagram,"Jambul,Sitaphal"
2160,10-Aug-24,Instagram,"Mango,Lemon"
2161,10-Aug-24,Instagram,Guava
2162,10-Aug-24,Instagram,Mango
2163,10-Aug-24,Instagram,Awala
2164,10-Aug-24,Instagram,Not Descided
2165,10-Aug-24,Instagram,Dragen
2166,10-Aug-24,Instagram,Not Descided
2167,10-Aug-24,Instagram,"Pomogranate,Mango"
2168,10-Aug-24,Instagram,Water Problem
2169,12-Aug-24,Instagram,"Pomogranate,Bambo"
2170,12-Aug-24,Instagram,Mango
2171,12-Aug-24,Instagram,Mango
2172,12-Aug-24,Instagram,"Guava,Mango"
2173,12-Aug-24,Instagram,Sitaphal
2174,12-Aug-24,Instagram,Bambo
2175,12-Aug-24,Instagram,"Guava,Pomogranate"
2176,12-Aug-24,Instagram,"Mango,Sitaphal"
2177,12-Aug-24,Instagram,Shevga 
2178,12-Aug-24,Instagram,Mango
2179,12-Aug-24,Instagram,"Mosambi,Bambo"
2180,12-Aug-24,Instagram,"Mango,Kaju"
2181,12-Aug-24,Youtube/Google,Not Desided
2182,12-Aug-24,Youtube/Google,Sitaphal
2183,12-Aug-24,Youtube/Google,Not Desided
2184,12-Aug-24,Youtube/Google,Pomogranate
2185,12-Aug-24,Youtube/Google,Pomogranate
2186,12-Aug-24,Youtube/Google,Mango
2187,12-Aug-24,Youtube/Google,Mango
2188,12-Aug-24,Youtube/Google,"Guava,Pomogranate"
2189,12-Aug-24,Youtube/Google,Not Desided
2190,12-Aug-24,Youtube/Google,"Guava,Lemon"
2191,12-Aug-24,Youtube/Google,Not Desided
2192,12-Aug-24,Youtube/Google,"Mosambi,Mango"
2193,12-Aug-24,Youtube/Google,Pomogranate
2194,12-Aug-24,Youtube/Google,"Anjir,Guava"
2195,12-Aug-24,Youtube/Google,Pomogranate
2196,12-Aug-24,Youtube/Google,Called to get information about F4F
2197,12-Aug-24,Youtube/Google,Drip Shop hai unka 
2198,12-Aug-24,Youtube/Google,Sagwan 
2199,12-Aug-24,Youtube/Google,Guava(Not Resive)
2200,12-Aug-24,Youtube/Google,"Orange,Mosambi"
2201,12-Aug-24,Youtube/Google,Not Desided
2202,12-Aug-24,Youtube/Google,Mango.Lemon
2203,12-Aug-24,Youtube/Google,"Mosambi,Mango"
2204,12-Aug-24,Youtube/Google,Mango
2205,12-Aug-24,Youtube/Google,Orange
2206,12-Aug-24,Youtube/Google,"Mango,Jambul  "
2207,12-Aug-24,Youtube/Google,"Guava,Sitaphal"
2208,12-Aug-24,Youtube/Google,Guava
2209,12-Aug-24,Youtube/Google,Not Desided
2210,12-Aug-24,Instagram,Mango
2211,12-Aug-24,Instagram,"Mango,Guava"
2212,12-Aug-24,Instagram,Orange
2213,12-Aug-24,Instagram,Pomogranate
2214,13-Aug-24,Instagram,Not decided
2215,13-Aug-24,Facebook,Bamboo
2216,13-Aug-24,Facebook,"Mango, Chandan"
2217,13-Aug-24,Facebook,"Mango, Sitafal"
2218,13-Aug-24,Facebook,"Banana, water melon"
2219,13-Aug-24,Facebook,"Guava, Sitafal, Coconut"
2220,14-Aug-24,Facebook,"Only Compound (Bambo,Sagwan)"
2221,14-Aug-24,Facebook,Not Descided
2222,14-Aug-24,Facebook,Guava
2223,14-Aug-24,Facebook,"Banana,Dragen"
2224,14-Aug-24,Facebook,Jambul
2225,14-Aug-24,Facebook,Called to get information about job vaccncy
2226,14-Aug-24,Facebook,Called to get information about F4F
2227,14-Aug-24,Facebook,Not Desided
2228,14-Aug-24,Facebook,"Mango,Orange"
2229,14-Aug-24,Facebook,Mango 
2230,14-Aug-24,Facebook,"Sitaphal,Bambo"
2231,14-Aug-24,Facebook,Called to get information about F4F
2232,14-Aug-24,Facebook,Guava
2233,14-Aug-24,Facebook,Called to get information about F4F
2234,14-Aug-24,Facebook,"Mango,Orange"
2235,14-Aug-24,Facebook,8/8/2023 Ko 6 Acre ke liye 18 Hajar pay kiye hai pichale sal water problem tha to plant nhi mile ab is sal koi problem nhi hai to ab unhe saplins cahiye
2236,14-Aug-24,Facebook,"Sitaphal,Mosambi"
2237,14-Aug-24,Facebook,Called to get information about F4F
2238,14-Aug-24,Facebook,"Mango,Bambo,Guava"
2239,14-Aug-24,Facebook,Bhumi Agrotens Subsidi Nikal kar de sakte hai
2240,14-Aug-24,Facebook,Called to get information about F4F
2241,14-Aug-24,Facebook,"Guava,Jambul"
2242,14-Aug-24,Facebook,"Water Problem Mango,Chich"
2243,14-Aug-24,Facebook,Not Desided
2244,14-Aug-24,Facebook,Water Problem
2245,14-Aug-24,Facebook,Want to sitaphal plants (Water Problem)
2246,14-Aug-24,Facebook,Not Desided
2247,14-Aug-24,Instagram,Native Tree 
2248,14-Aug-24,Instagram,Water Problemb  
2249,16-Aug-24,Instagram,Pomegranate
2250,16-Aug-24,Instagram,"Mango,Cocunat"
2251,16-Aug-24,Instagram,Pomegranate
2252,16-Aug-24,Instagram,Called to get information about F4F
2253,16-Aug-24,Instagram,"Mango,Guava,Sitaphal"
2254,16-Aug-24,Instagram,Guava
2255,16-Aug-24,Instagram,Guava
2256,16-Aug-24,Instagram,Not Desided
2257,16-Aug-24,Instagram,Mango
2258,16-Aug-24,Instagram,Not Desided
2259,16-Aug-24,Instagram,Mango
2260,16-Aug-24,Instagram,Not Desided
2261,16-Aug-24,Instagram,Pomogranate
2262,16-Aug-24,Instagram,Mango
2263,16-Aug-24,Instagram,Shevga
2264,16-Aug-24,Instagram,Not Desided
2265,16-Aug-24,Instagram,Lemon
2266,16-Aug-24,Instagram,Not Desided
2267,16-Aug-24,Instagram,Not Desided
2268,16-Aug-24,Instagram,Mango
2269,16-Aug-24,Instagram,"Mango,Bambo,Jambul"
2270,16-Aug-24,Instagram,"Cocunat,Mango"
2271,16-Aug-24,Instagram,Not Desided
2272,16-Aug-24,Instagram,Pomegranate
2273,16-Aug-24,Instagram,Mango
2274,16-Aug-24,Instagram,"Mango,Guava"
2275,16-Aug-24,Instagram,Not Desided
2276,16-Aug-24,Instagram,Not Desided
2277,16-Aug-24,Instagram,"Mango,Chiku,Fanas"
2278,16-Aug-24,Instagram,Mosambi
2279,16-Aug-24,Instagram,Called to get information about F4F
2280,16-Aug-24,Instagram,20 Acre group Plantation hai
2281,17-Aug-24,Instagram,"Sitaphal,Guava"
2282,17-Aug-24,Instagram,Mango
2283,17-Aug-24,Instagram,Guava
2284,17-Aug-24,Instagram,Pomegranate
2285,17-Aug-24,Instagram,Sitaphal
2286,17-Aug-24,Instagram,"Mango,Jambul"
2287,17-Aug-24,Instagram,Not Desided
2288,20-Aug-24,Instagram,Mango
2289,20-Aug-24,Instagram,Pomegranate
2290,20-Aug-24,Instagram,Water Problem
2291,20-Aug-24,Instagram,10 Farmer ka gruop hai
2292,20-Aug-24,Instagram,"Guava,Jambul"
2293,20-Aug-24,Instagram,Mango
2294,20-Aug-24,Instagram,Guava
2295,20-Aug-24,Instagram,"Mango,Bambo,Awala"
2296,20-Aug-24,Instagram,Khajur (Call Back)
2297,20-Aug-24,Instagram,Just Wanted To Guidance
2298,20-Aug-24,Peer to Peer,Malvklyan Parishad Dhule ENGO (Called to inquired about F4F)
2299,20-Aug-24,Poster/Flyer,Mango
2300,20-Aug-24,Instagram,Just Want to Guidance
2301,20-Aug-24,Instagram,Not Desided
2302,20-Aug-24,Instagram,Mango
2303,20-Aug-24,Instagram,Not Desided
2304,20-Aug-24,Instagram,Orange
2305,20-Aug-24,Instagram,Mango
2306,20-Aug-24,Instagram,Mango
2307,20-Aug-24,Instagram,Guava
2308,20-Aug-24,Instagram,Not Desided
2309,20-Aug-24,Instagram,Not Desided
2310,20-Aug-24,Instagram,Mosambi
2311,20-Aug-24,Instagram,Not Desided
2312,20-Aug-24,Instagram,Mango
2313,20-Aug-24,Instagram,"Sitaphal,Guava"
2314,21-Aug-24,Facebook,Not Desided
2315,21-Aug-24,Facebook,Mango
2316,21-Aug-24,Facebook,Not Desided
2317,21-Aug-24,Facebook,Called to get information about F4F
2318,21-Aug-24,Facebook,Already plantation is done just want to guidence
2319,21-Aug-24,Facebook,"Mango,Sitaphal"
2320,21-Aug-24,Facebook,No Any Comment
2321,21-Aug-24,Facebook,Anjir 
2322,21-Aug-24,Facebook,Want to mix plants
2323,21-Aug-24,Facebook,Mango
2324,21-Aug-24,Facebook,Mango
2325,21-Aug-24,Facebook,"Lemon,Sitaphal"
2326,21-Aug-24,Facebook,Want to mix plants
2327,21-Aug-24,Facebook,Mango
2328,22-Aug-24,Facebook,(Old Plarticipant )Pichle Sal 2 Acre me 800 Saplings lgaye the F4F se un me se 30 saplings jal gaye vo fir se chahiye
2329,22-Aug-24,Facebook,Not Desided
2330,22-Aug-24,Facebook,Not Desided
2331,22-Aug-24,Facebook,Mango
2332,22-Aug-24,Facebook,"Mango,Sitaphal"
2333,22-Aug-24,Facebook,Not Desided
2334,22-Aug-24,Facebook,Alredy plantation just wanted guidence and carbon credit
2335,22-Aug-24,Facebook,"Mosambi,Sitaphal"
2336,22-Aug-24,Facebook,Not Desided
2337,24-Aug-24,Facebook,Called to get information about F4F
2338,24-Aug-24,Facebook,Not Desided
2339,24-Aug-24,Facebook,Not Desided
2340,24-Aug-24,Facebook,Lemon
2341,24-Aug-24,Facebook,Pomegranate
2342,24-Aug-24,Facebook,Not Desided(Not Resive)
2343,24-Aug-24,Facebook,"Pomegranate,Guava"
